,Community Area,2009-2013,2014-2018,Change
0,1,26018,18682,-0.28195864401568144
1,2,22377,16595,-0.25839031148053804
2,3,24303,17895,-0.2636711517096655
3,4,12071,9440,-0.21796040096098088
4,5,10085,6957,-0.3101636093207734
5,6,37267,28469,-0.23608017817371937
6,7,26687,21078,-0.21017723985461087
7,8,56505,52885,-0.06406512697991328
8,9,1682,1306,-0.2235434007134364
9,10,7302,6028,-0.17447274719255
10,11,6953,5509,-0.20768013806989788
11,12,3096,2462,-0.20478036175710596
12,13,5614,4574,-0.18525115781973636
13,14,15865,12030,-0.2417270721714466
14,15,22459,16333,-0.2727637027472283
15,16,20930,14409,-0.3115623506927855
16,17,10967,7845,-0.28467219841342206
17,18,4263,2926,-0.3136288998357964
18,19,34859,23151,-0.3358673513296423
19,20,10970,7867,-0.28286235186873293
20,21,16943,11403,-0.32697869326565543
21,22,36846,24833,-0.32603267654562235
22,23,57228,40806,-0.28695743342419794
23,24,51197,37615,-0.26528898177627597
24,25,114649,82072,-0.2841455224206055
25,26,32409,28591,-0.11780678206670986
26,27,33016,25553,-0.22604191906954205
27,28,47769,42930,-0.10130000628022358
28,29,51480,43529,-0.15444832944832945
29,30,29526,22565,-0.23575831470568312
30,31,16967,12619,-0.25626215594978485
31,32,39077,44398,0.13616705478926222
32,33,9711,9257,-0.04675110699207085
33,34,6883,5265,-0.23507191631556007
34,35,14368,12806,-0.10871380846325167
35,36,3995,3265,-0.18272841051314143
36,37,5865,4365,-0.2557544757033248
37,38,22843,16359,-0.2838506325789082
38,39,10078,7135,-0.2920222266322683
39,40,19139,13740,-0.28209415329954546
40,41,10087,8228,-0.18429661941112324
41,42,29238,18595,-0.36401258636021616
42,43,59687,43099,-0.2779164642216898
43,44,37561,30917,-0.17688559942493542
44,45,9253,6517,-0.29568788501026694
45,46,33522,23622,-0.2953284410238053
46,47,2532,1904,-0.2480252764612954
47,48,9968,7097,-0.28802166934189405
48,49,48812,34132,-0.30074571826600016
49,50,6467,5679,-0.12184938920674192
50,51,12190,9387,-0.2299425758818704
51,52,9063,6286,-0.30641068079002537
52,53,29547,20007,-0.32287541882424614
53,54,7408,6453,-0.128914686825054
54,55,3863,2979,-0.22883769091379758
55,56,13000,9696,-0.2541538461538462
56,57,6689,4528,-0.3230677231275228
57,58,17224,12513,-0.2735137018114259
58,59,7290,5062,-0.3056241426611797
59,60,11382,7996,-0.29748726058689157
60,61,36493,23750,-0.3491902556654701
61,62,7165,5101,-0.28806699232379623
62,63,17703,11516,-0.34948878721120713
63,64,6794,4672,-0.3123344127171033
64,65,13253,9808,-0.2599411454010413
65,66,46829,29506,-0.3699203485019966
66,67,52579,35581,-0.32328496167671505
67,68,47509,32287,-0.3204024500620935
68,69,44454,32379,-0.27162909974355515
69,70,15990,12310,-0.23014383989993747
70,71,50705,37662,-0.25723301449561187
71,72,6158,4606,-0.252029879831114
72,73,21301,15574,-0.2688606168724473
73,74,3872,2999,-0.22546487603305784
74,75,14651,10302,-0.29683980615657635
75,76,9931,8711,-0.12284764877655825
76,77,16615,12142,-0.2692145651519711
